# well_id: KUB-MON-004-RAIN
# location: Elrado Somagama Tea Estate- Lunugala
# recorded_at: 17-09-2026 12:31 (site local time)
# units: hourly rainfall in mm (a missing row means no rain in that hour)
date,time,value
28-11-2023,19:30,3.5
29-11-2023,02:30,0.5
29-11-2023,08:30,1
29-11-2023,09:30,5
29-11-2023,10:30,2
29-11-2023,14:30,4.5
29-11-2023,15:30,0.5
29-11-2023,18:30,0.5
30-11-2023,11:30,14.5
30-11-2023,13:30,3.5
30-11-2023,14:30,2.5
30-11-2023,15:30,2.5
30-11-2023,16:30,2
30-11-2023,18:30,0.5
30-11-2023,19:30,2
30-11-2023,20:30,0.5
30-11-2023,21:30,0.5
01-12-2023,12:30,4
01-12-2023,13:30,0.5
02-12-2023,05:30,0.5
03-12-2023,18:30,0.5
04-12-2023,03:30,1
04-12-2023,06:30,0.5
05-12-2023,02:30,0.5
05-12-2023,08:30,30
05-12-2023,09:30,1.5
05-12-2023,10:30,0.5
05-12-2023,11:30,0.5
06-12-2023,03:30,0.5
06-12-2023,09:30,1
06-12-2023,10:30,0.5
06-12-2023,11:30,7
06-12-2023,12:30,5.5
06-12-2023,13:30,0.5
06-12-2023,23:30,0.5
07-12-2023,12:30,7
07-12-2023,13:30,61
07-12-2023,14:30,6
07-12-2023,15:30,10.5
07-12-2023,16:30,5.5
08-12-2023,01:30,0.5
08-12-2023,09:30,1.5
08-12-2023,10:30,5
08-12-2023,11:30,2
08-12-2023,12:30,2.5
08-12-2023,13:30,4
08-12-2023,15:30,7
08-12-2023,17:30,0.5
08-12-2023,20:30,0.5
09-12-2023,08:30,0.5
09-12-2023,09:30,9.5
09-12-2023,10:30,2.5
09-12-2023,11:30,11
09-12-2023,12:30,11
09-12-2023,13:30,1
09-12-2023,15:30,0.5
10-12-2023,07:30,2
10-12-2023,08:30,10
10-12-2023,09:30,4.5
10-12-2023,10:30,5
10-12-2023,11:30,1.5
10-12-2023,13:30,16.5
10-12-2023,15:30,0.5
11-12-2023,01:30,0.5
11-12-2023,15:30,7.5
11-12-2023,17:30,1
11-12-2023,21:30,0.5
12-12-2023,04:30,1
12-12-2023,05:30,1.5
12-12-2023,08:30,16.5
12-12-2023,09:30,23
12-12-2023,10:30,6.5
12-12-2023,11:30,1
12-12-2023,12:30,0.5
12-12-2023,13:30,1
13-12-2023,21:30,1.5
14-12-2023,00:30,1.5
14-12-2023,01:30,3.5
14-12-2023,02:30,1.5
14-12-2023,03:30,0.5
14-12-2023,09:30,0.5
14-12-2023,10:30,2.5
14-12-2023,11:30,2
14-12-2023,13:30,0.5
14-12-2023,15:30,0.5
14-12-2023,17:30,0.5
14-12-2023,18:30,4
14-12-2023,19:30,5
14-12-2023,20:30,3
14-12-2023,21:30,3
14-12-2023,22:30,0.5
15-12-2023,00:30,1
15-12-2023,03:30,3.5
15-12-2023,04:30,0.5
15-12-2023,05:30,3.5
15-12-2023,06:30,7
15-12-2023,07:30,6.5
15-12-2023,08:30,0.5
15-12-2023,09:30,9.5
15-12-2023,10:30,10
15-12-2023,11:30,3
15-12-2023,12:30,2
15-12-2023,13:30,0.5
15-12-2023,15:30,2.5
15-12-2023,16:30,7
15-12-2023,17:30,4.5
15-12-2023,18:30,3
15-12-2023,20:30,5
15-12-2023,21:30,0.5
16-12-2023,01:30,2
16-12-2023,02:30,9
16-12-2023,03:30,3
16-12-2023,04:30,4.5
16-12-2023,05:30,1
16-12-2023,09:30,0.5
16-12-2023,11:30,6.5
16-12-2023,12:30,0.5
16-12-2023,17:30,0.5
17-12-2023,08:30,0.5
17-12-2023,12:30,7.5
17-12-2023,13:30,2.5
17-12-2023,14:30,8.5
17-12-2023,15:30,2
17-12-2023,17:30,0.5
18-12-2023,00:30,0.5
18-12-2023,08:30,4
